rowlabel,nadults,sex,age,yrsarea,cartot,quallife,walkdark,unoccl,pubeve,mottheft,motstole,cardamag,yrhotry,yrhostol,yrdeface,persthef,delibdam,delibvio,threviol2,sexattak,polatt1,polatt2,polatt3,polatt5,polatt6,polatt7,genhealt,cry2,relig3,tenure1,hominsur,persinc,inner,rural3,rubbcomm,vandcomm,accharm1,livharm1a,tenharm,struct3,agegrp7,ethgrp2a,illONS,educat3,remploya,h10sec6a,club3,ratpol3,emdiqu15x,confx
175533320,2,2,25,7,1,5,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,4,2,3,0,2,4,4,3,2,3,2,2,1,1,3,3,5,1,100,5,0.034567274
175846240,2,2,25,7,1,1,3,4,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,3,1,5,1,2,2,1,5,0,2,4,4,2,1,1,2,2,1,1,2,3,1,1,100,1,0.958109358
175973080,1,2,25,7,1,1,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,14,0,2,4,4,3,3,1,1,2,1,1,4,3,7,1,0,3,0.266492235
176218240,4,2,25,7,2,8,2,3,1,2,1,2,2,2,2,2,2,2,2,2,4,2,4,3,3,2,1,1,2,4,2,1,0,1,3,3,3,3,3,2,2,1,1,3,3,5,1,0,4,-1.044284563
186332240,2,1,25,7,2,7,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,1,1,1,1,5,1,10,0,2,4,4,1,3,3,1,2,1,1,4,1,1,2,100,5,1.001867229
175235160,1,1,26,7,1,1,1,6,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,1,1,1,2,1,5,0,2,4,4,5,3,1,1,2,1,1,4,1,1,3,100,1,-0.412854777
175368080,2,2,26,7,2,5,3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,4,2,6,1,2,3,4,5,1,3,2,2,1,1,4,1,2,1,100,2,0.990281907
175392240,4,1,26,7,5,1,1,6,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,0,2,3,3,1,3,1,1,2,1,1,3,1,5,1,100,5,1.665469564
175869080,4,2,26,7,1,4,4,4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,3,4,2,1,1,5,1,3,0,2,1,3,5,3,3,2,2,1,1,3,1,1,1,100,2,-0.674176297
186309080,2,2,26,7,2,5,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,3,3,4,2,1,2,2,1,12,0,2,3,3,2,2,1,1,2,1,1,4,1,4,1,0,3,-1.535109769
186310160,1,1,26,7,1,2,2,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,4,0,2,4,4,3,3,1,1,2,1,1,4,1,2,1,100,3,0.266492235
186596240,2,2,26,7,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,4,1,6,0,2,3,3,3,2,3,2,2,1,1,2,3,1,1,100,2,1.665469564
174413160,2,1,27,7,1,1,1,6,3,2,2,2,2,2,2,2,2,2,2,2,4,1,3,2,4,4,2,1,2,4,2,8,0,1,3,4,3,1,3,2,2,1,1,4,1,4,1,0,5,-1.045147379
174522160,1,1,27,7,1,1,1,6,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,4,4,2,1,1,6,4,2,11,0,2,1,3,3,3,3,1,2,3,1,4,1,1,1,100,2,-0.266707477
175056240,3,1,27,7,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,5,1,6,0,2,4,4,1,3,3,4,2,1,1,2,1,1,1,100,5,0.4844106
175077080,1,2,27,7,1,5,4,6,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,1,5,3,3,1,2,4,2,2,0,2,4,4,2,3,2,3,2,1,3,2,1,5,1,0,3,-0.667269285
175214160,3,1,27,7,2,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,4,1,1,3,3,3,2,1,2,1,1,4,0,1,3,3,3,3,1,1,2,1,3,2,1,5,2,0,5,-0.375483369
175672240,2,2,27,7,3,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,4,2,2,1,1,4,2,8,0,1,2,4,3,2,2,2,2,1,3,3,1,3,1,0,3,-0.598080043
175722240,2,2,27,7,2,3,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,1,1,2,2,1,12,0,2,4,4,2,2,1,2,2,1,1,4,1,1,1,100,4,0.09111421
176189080,2,2,27,7,1,2,2,6,1,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,1,1,2,4,1,5,0,2,2,4,3,2,3,2,2,1,1,4,1,3,1,0,1,-3.93043975
175500320,1,2,28,7,1,4,3,3,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,3,4,2,1,1,4,1,4,0,2,2,2,3,3,3,3,2,1,1,2,1,1,1,0,1,-1.09927304
175653080,2,1,28,7,2,1,1,5,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,2,1,13,0,1,4,4,1,1,1,1,2,1,1,4,1,1,1,100,3,1.23379219
175858240,1,1,28,7,1,6,1,6,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,4,5,3,1,1,2,2,1,7,0,2,2,4,2,3,1,1,2,1,1,4,1,1,1,0,2,-0.483586338
186585240,2,1,28,7,1,1,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,4,1,6,0,2,3,4,2,2,3,2,2,1,1,3,1,1,1,100,4,0.988379587
186605240,2,1,28,7,1,2,1,6,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,1,1,2,2,1,5,0,2,1,4,2,2,1,2,2,1,1,3,1,2,1,100,1,-0.408695422
175067240,3,1,29,7,3,1,1,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,2,1,1,1,2,1,5,0,2,4,4,2,3,1,4,2,1,1,4,1,3,1,0,5,-0.644779738
175107160,1,2,29,7,1,6,3,5,1,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,4,2,3,0,2,3,4,2,1,2,3,2,1,1,2,3,5,1,100,1,0.066739823
175248160,2,1,29,7,2,5,2,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,7,0,2,3,4,2,2,1,2,2,1,1,3,1,4,1,100,5,0.266492235
175339080,1,1,29,7,1,1,1,6,5,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,3,1,1,1,2,1,8,0,2,3,4,2,3,1,1,2,1,1,3,1,1,1,100,2,0.081785924
176027240,2,2,29,7,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,7,0,2,4,4,3,1,1,2,2,1,1,2,1,5,1,100,3,1.665469564
176204080,2,2,29,7,2,1,2,5,1,2,2,2,2,2,2,2,2,2,2,2,3,2,4,3,3,3,1,1,1,4,1,11,0,1,3,4,3,2,3,2,2,1,1,3,1,1,1,0,3,-1.089944754
186345160,2,2,29,7,2,6,2,6,1,2,2,2,2,2,2,2,2,2,2,2,3,1,1,3,2,1,2,1,2,2,1,11,0,1,3,4,2,2,1,1,2,1,1,4,1,1,1,100,4,0.547019211
175044160,4,1,30,7,1,1,2,5,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,3,1,2,2,2,2,0,2,4,3,1,3,1,1,2,1,3,4,1,1,1,0,4,-0.408695422
175092240,2,1,30,7,1,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,4,4,4,1,5,4,1,1,2,2,1,8,1,2,1,4,3,2,1,2,2,1,1,3,1,4,1,0,1,-2.032856533
175440240,2,2,30,7,2,4,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,7,1,2,1,2,3,2,1,2,2,1,1,2,1,4,1,100,1,0.266492235
175856080,1,2,30,7,1,3,1,6,3,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,1,8,0,2,4,4,3,3,1,1,2,1,1,4,1,1,1,100,4,1.433544602
176148320,2,1,30,7,2,2,1,5,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,1,11,0,2,4,4,1,2,1,1,2,1,1,3,1,1,1,100,2,0.066739823
176177080,2,2,30,7,2,3,3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,4,2,2,1,2,2,1,12,0,2,3,3,3,1,1,2,2,1,3,4,1,1,1,0,4,-0.500356731
186300080,2,2,30,7,1,3,2,3,1,2,2,2,2,2,2,2,2,2,2,2,5,2,4,4,5,4,2,1,1,4,2,5,0,1,3,3,3,2,2,2,2,1,1,2,3,5,1,0,1,-2.442222387
186326080,2,1,30,7,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,1,4,0,2,4,4,3,1,1,2,2,1,1,4,1,3,1,100,3,1.23379219
186602080,1,1,30,7,1,6,1,6,2,2,2,2,2,2,2,2,2,2,2,2,1,4,3,2,4,2,2,1,2,4,1,3,0,2,3,3,3,3,3,1,2,1,1,4,1,3,1,0,1,-0.736441048
175201240,1,1,31,7,1,1,2,6,2,2,2,1,2,2,2,2,2,2,2,2,5,4,5,5,5,5,1,1,2,2,1,3,0,2,4,4,3,3,1,1,2,1,1,3,1,5,2,0,3,-3.669981046
175571480,1,2,31,7,1,5,3,6,2,2,2,1,2,2,2,2,2,1,1,2,4,2,2,3,4,4,3,1,1,4,1,3,0,2,4,4,2,3,3,3,2,1,3,3,1,2,1,0,2,-1.331198002
175609240,2,1,31,7,1,4,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,1,7,0,2,3,4,3,1,3,2,2,1,1,4,1,2,1,100,2,0.266492235
175639320,2,2,31,7,2,7,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,10,0,1,4,4,2,1,1,2,2,1,1,4,1,4,1,100,3,0.526950939
175714240,2,1,31,7,1,7,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,6,0,2,2,2,6,1,1,2,2,1,1,3,1,2,1,100,3,0.727920883
175857080,3,2,31,7,1,4,2,5,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,5,4,2,1,1,2,1,5,0,1,3,3,2,2,1,2,2,1,1,1,1,5,1,0,4,-1.806633246
186300640,2,1,31,7,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,1,2,1,11,0,1,4,4,2,2,1,1,2,1,1,4,1,1,1,100,4,0.034567274
186415080,2,2,31,7,2,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,3,1,1,2,1,9,0,2,3,3,3,1,1,2,2,1,1,4,1,1,1,100,5,0.944621716
186564240,4,1,31,7,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,5,0,2,4,4,2,3,1,1,2,1,1,2,1,1,1,100,4,1.222206868
175205160,2,1,32,7,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,1,2,4,2,2,0,1,3,3,3,2,2,2,2,1,1,1,1,5,1,100,2,0.066739823
175296080,3,1,32,7,3,5,3,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,4,2,6,1,2,3,4,3,3,2,1,2,1,1,4,1,5,1,100,1,0.034567274
175396080,2,2,32,7,2,7,2,5,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,1,2,2,1,11,0,2,4,4,1,1,1,2,2,1,1,4,1,1,2,100,4,0.309032575
175661080,2,1,32,7,1,2,1,5,4,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,1,13,0,1,3,3,1,1,1,1,2,1,1,4,1,1,2,100,5,0.526950939
176024320,2,2,32,7,1,5,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,2,4,0,2,3,3,5,1,2,2,2,1,1,4,1,5,1,100,2,0.266492235
176054160,2,2,32,7,1,1,3,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1,2,1,1,5,0,2,3,3,3,2,1,2,2,1,1,4,1,2,1,0,2,-0.208943009
186344160,2,1,32,7,3,1,2,6,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,2,3,1,1,4,2,7,0,2,3,3,3,2,3,1,2,1,1,2,1,4,2,100,1,-0.364937551
186423240,1,2,32,7,1,8,1,6,2,2,2,2,2,2,2,2,2,2,2,2,5,4,5,4,5,5,2,1,2,2,1,4,0,2,4,4,1,4,1,1,2,1,1,3,1,3,1,0,5,-3.426470763
175685080,2,2,33,7,1,7,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,1,6,5,2,1,0,2,4,4,2,5,3,4,2,3,2,4,3,5,1,100,2,0.74192748
176044240,2,2,33,7,1,3,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,1,2,2,2,14,0,2,4,4,3,1,1,1,2,1,2,4,1,1,1,0,5,-0.196838733
175035320,2,1,34,7,1,5,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,13,0,2,4,4,2,1,1,2,2,1,1,3,1,1,2,0,5,0.022981952
175370240,2,1,34,7,2,1,1,5,5,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,11,0,2,4,4,2,1,1,2,2,1,1,3,1,1,1,100,4,1.665469564
175450240,1,2,34,7,1,1,1,6,1,2,2,1,2,2,2,2,2,2,2,2,3,1,3,3,4,2,1,1,1,4,1,7,0,2,2,2,3,3,3,3,2,1,3,4,1,1,1,100,1,-0.598080043
175532160,2,2,34,7,4,1,2,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,10,0,2,3,3,1,1,1,2,2,1,1,4,1,1,1,100,5,0.266492235
175719320,2,1,34,7,2,1,1,6,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,4,2,3,1,2,2,1,11,0,2,4,4,2,1,1,2,2,1,1,4,1,1,1,0,4,-0.858538747
175782240,2,2,34,7,2,2,2,5,2,2,1,2,2,2,1,2,2,2,2,2,3,3,2,3,3,2,1,1,1,2,1,10,0,2,3,3,2,1,1,2,2,1,1,3,1,3,1,100,4,-0.669154126
175848240,2,2,34,7,1,2,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,1,8,0,2,4,4,2,1,1,2,2,1,1,4,1,4,1,100,1,0.022981952
186280080,1,2,34,7,1,3,3,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,1,6,1,2,4,4,2,3,2,3,2,1,1,5,1,1,1,100,2,0.266492235
175035240,2,1,35,7,1,3,2,5,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,1,2,2,1,10,0,2,4,4,2,1,1,2,3,1,1,4,1,1,1,100,5,-0.193718881
175140160,3,2,35,7,3,5,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,1,1,10,0,2,4,4,2,5,1,4,3,3,1,4,1,3,1,100,4,0.266492235
175198160,2,1,35,7,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,1,2,0,1,4,4,1,1,3,2,3,1,1,4,1,2,1,100,4,0.266492235
175295240,1,2,35,7,1,5,2,4,3,2,2,2,2,2,2,2,2,2,2,2,4,5,4,4,3,4,2,1,1,4,2,2,0,2,1,2,3,3,2,1,3,3,1,4,1,5,1,0,1,-2.559996165
175737080,2,1,35,7,2,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,1,11,0,2,3,4,2,1,1,1,3,1,1,3,1,5,1,100,2,1.433544602
175751160,2,1,35,7,2,2,1,6,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,3,2,2,1,1,2,1,13,0,2,3,3,3,2,1,1,3,1,1,4,1,4,2,0,3,-1.304743267
186293160,1,1,35,7,1,1,1,3,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,3,1,2,4,2,3,0,2,3,4,2,3,2,1,3,1,3,3,1,5,1,100,1,0.944621716
175507320,2,2,36,7,2,3,2,3,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,3,1,2,1,1,2,1,7,0,2,4,4,2,1,1,2,3,1,1,3,1,2,1,100,5,0.723242573
175806080,2,1,36,7,1,1,1,4,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,2,1,8,0,2,3,4,3,2,1,2,3,1,1,2,1,2,1,100,5,1.23379219
176047160,2,2,36,7,2,1,3,5,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,12,0,2,3,4,2,1,1,2,3,1,1,4,1,2,1,100,4,0.266492235
176063240,2,2,36,7,1,3,4,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,3,2,1,1,2,1,8,0,2,3,3,3,2,1,1,3,1,1,4,1,2,1,0,2,-1.147709222
186534080,2,2,36,7,1,1,3,6,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,4,1,9,1,2,3,3,3,2,2,2,3,1,1,2,1,5,1,100,1,1.465717151
175070160,2,2,37,7,1,2,2,5,3,2,2,2,2,2,2,2,2,2,1,2,4,4,1,2,4,2,1,1,1,2,1,8,0,2,4,4,2,1,1,2,3,1,1,3,1,1,1,100,5,-0.899861555
175447320,2,1,37,7,1,3,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,2,1,7,0,2,4,4,2,1,1,2,3,1,1,3,1,3,1,0,3,0.048573871
175601160,1,1,37,7,1,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,1,1,2,4,1,8,0,2,4,4,2,3,3,1,3,1,1,2,1,1,1,100,2,-0.671056446
175777080,2,1,37,7,2,1,1,5,3,2,2,1,2,2,2,2,2,2,2,2,3,1,1,1,3,3,1,1,2,2,1,14,0,2,3,3,2,1,1,2,3,1,1,4,1,1,1,0,4,0.31128961
186267160,3,1,37,7,5,6,1,1,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,4,3,2,1,1,1,1,7,0,1,4,4,1,2,1,2,3,1,1,4,1,1,1,0,4,-0.120387763
186379240,2,1,37,7,1,1,1,4,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,1,1,1,2,1,14,0,2,4,4,2,1,1,2,3,1,1,3,1,1,1,100,3,0.295025978
175039240,2,1,38,7,1,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,1,4,1,6,0,2,2,3,2,1,2,2,3,1,1,2,1,5,1,100,2,0.266492235
175099240,1,1,38,7,1,9,2,6,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,1,1,4,1,3,0,2,3,3,3,3,3,1,3,1,1,2,1,1,1,100,2,-0.165185138
175240320,1,1,38,7,2,1,1,6,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,3,2,2,1,2,2,1,6,0,2,4,4,1,4,1,1,3,4,1,2,1,4,1,0,5,0.269434059
175337160,2,1,38,7,3,1,1,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,14,0,2,4,4,1,1,1,2,3,1,1,4,1,1,1,100,5,0.266492235
175532320,1,2,38,7,1,2,2,5,3,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,2,2,1,1,2,4,2,2,0,2,4,4,2,3,3,3,3,1,1,2,1,1,1,0,4,-0.568849318
175575080,4,2,38,7,2,6,4,4,1,2,2,1,2,2,2,2,2,2,2,2,3,2,3,4,4,2,2,1,2,2,1,4,0,2,1,4,3,1,1,1,3,1,1,3,1,3,1,0,1,-1.10204903
175888080,2,2,38,7,2,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,1,2,2,1,14,0,2,4,4,1,1,1,2,3,1,1,4,3,1,1,0,5,-0.88707249
