SEX,ECONOMIC,NS-SEC,Tenture,Internet,NPH,NAH,NCH,GFR,INCOME,GWHI,TWE
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,228,92
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,599,301
Female,Full-time working,Routine and manual occupations,Owned,Yes,1,1,0,Eastern,earnings,462,318
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,Eastern,other source,258,187
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,earnings,742,396
Male,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,Eastern,earnings,519,341
Male,Full-time working,Routine and manual occupations,Private rented,Yes,1,1,0,Eastern,earnings,420,458
Male,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,Eastern,other source,176,95
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,301,135
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,564,691
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,328,219
Female,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,earnings,133,219
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,earnings,701,469
Male,Economically inactive,Routine and manual occupations,Public rented,Yes,1,1,0,Eastern,other source,183,212
Male,Full-time working,Routine and manual occupations,Public rented,Yes,1,1,0,Eastern,earnings,305,190
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,222,97
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,222,113
Female,Part-time working,Routine and manual occupations,Public rented,Yes,1,1,0,Eastern,other source,0,259
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,181,83
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,133,164
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,442,156
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,147,216
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,295,87
Female,Economically inactive,Not classified for other reasons,Private rented,No,1,1,0,Eastern,other source,299,358
Female,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Private rented,No,1,1,0,Eastern,other source,78,355
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,369,124
Male,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,1,1,0,Eastern,earnings,514,362
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,393,161
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,earnings,717,293
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,493,787
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,279,177
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,1185,942
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,Eastern,other source,317,251
Male,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,Eastern,other source,503,370
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,229,150
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,191,176
Male,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Eastern,other source,258,157
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,509,652
Female,Unemployed and work related Government Training Programmes,Routine and manual occupations,Public rented,No,1,1,0,Eastern,other source,100,86
Female,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,1,1,0,Eastern,other source,846,542
Female,Full-time working,Intermediate occupations,Private rented,Yes,1,1,0,Eastern,earnings,637,374
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,356,374
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,398,346
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,No,1,1,0,Eastern,earnings,407,220
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,220,249
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,earnings,1185,350
Male,Economically inactive,Not classified for other reasons,Private rented,Yes,1,1,0,Eastern,other source,7,292
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Eastern,other source,200,185
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,205,169
Male,Part-time working,Routine and manual occupations,Owned,Yes,1,1,0,Eastern,other source,278,93
Male,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,Eastern,earnings,685,316
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,earnings,1147,733
Male,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,Eastern,other source,223,102
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,256,303
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,351,127
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,579,710
Male,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,other source,152,335
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,284,162
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,Eastern,other source,179,403
Male,Full-time working,Routine and manual occupations,Private rented,Yes,1,1,0,Eastern,earnings,327,453
Male,Full-time working,Routine and manual occupations,Public rented,No,1,1,0,Eastern,earnings,330,202
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,170,104
Male,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Private rented,No,1,1,0,Eastern,other source,71,60
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,477,196
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,44,112
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,83,251
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,257,169
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,172,68
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,266,196
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,earnings,896,664
Male,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,Eastern,earnings,50,663
Male,Full-time working,Routine and manual occupations,Public rented,No,1,1,0,Eastern,earnings,464,209
Male,Full-time working,Routine and manual occupations,Private rented,No,1,1,0,Eastern,earnings,198,218
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,earnings,1185,415
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,179,99
Male,Economically inactive,Not classified for other reasons,Private rented,No,1,1,0,Eastern,other source,206,282
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,earnings,801,353
Female,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,earnings,722,234
Male,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Owned,Yes,1,1,0,Eastern,other source,23,135
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Eastern,other source,126,77
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,265,977
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,322,301
Male,Full-time working,Routine and manual occupations,Private rented,Yes,1,1,0,Eastern,earnings,384,302
Female,Part-time working,Intermediate occupations,Private rented,No,1,1,0,Eastern,earnings,208,176
Male,Economically inactive,Not classified for other reasons,Private rented,No,1,1,0,Eastern,other source,288,187
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,160,71
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,242,192
Male,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,No,1,1,0,Eastern,earnings,612,325
Female,Part-time working,Intermediate occupations,Owned,Yes,1,1,0,Eastern,earnings,801,900
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,165,184
Male,Economically inactive,Routine and manual occupations,Private rented,Yes,1,1,0,Eastern,other source,71,165
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,earnings,770,268
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,218,241
Female,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,other source,698,714
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,362,90
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,1185,756
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,1185,662
Male,Economically inactive,Not classified for other reasons,Private rented,Yes,1,1,0,London,other source,228,125
Female,Full-time working,Routine and manual occupations,Public rented,Yes,1,1,0,London,earnings,352,407
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,London,other source,225,112
Female,Unemployed and work related Government Training Programmes,Intermediate occupations,Private rented,Yes,1,1,0,London,other source,70,295
Male,Full-time working,Intermediate occupations,Private rented,No,1,1,0,London,earnings,1012,336
Female,Full-time working,Intermediate occupations,Private rented,Yes,1,1,0,London,earnings,401,218
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,875,638
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,220,83
Female,Unemployed and work related Government Training Programmes,Intermediate occupations,Owned,Yes,1,1,0,London,other source,214,299
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,459,180
Female,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Owned,Yes,1,1,0,London,other source,0,503
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,646,312
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,London,other source,399,270
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,London,other source,183,209
Male,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,No,1,1,0,London,other source,50,52
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,614,555
Female,Economically inactive,Not classified for other reasons,Private rented,Yes,1,1,0,London,other source,218,280
Female,Economically inactive,Routine and manual occupations,Public rented,Yes,1,1,0,London,other source,159,123
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,London,other source,150,99
Male,Full-time working,Routine and manual occupations,Private rented,Yes,1,1,0,London,earnings,522,456
Male,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,London,other source,143,148
Male,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,1,1,0,London,earnings,695,502
Female,Economically inactive,Routine and manual occupations,Private rented,Yes,1,1,0,London,other source,71,213
Male,Full-time working,Routine and manual occupations,Owned,Yes,1,1,0,London,earnings,718,401
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,607,723
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,1185,411
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,433,285
Male,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,other source,102,281
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,281,351
Male,Full-time working,Intermediate occupations,Private rented,Yes,1,1,0,London,earnings,620,438
Female,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,Yes,1,1,0,London,other source,71,70
Male,Economically inactive,Routine and manual occupations,Owned,Yes,1,1,0,London,other source,139,154
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,London,other source,237,84
Male,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,other source,360,489
Male,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,London,earnings,988,541
Male,Economically inactive,Not classified for other reasons,Private rented,Yes,1,1,0,London,other source,306,156
Female,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,978,228
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,London,other source,151,334
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,663,501
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,London,other source,576,668
Male,Full-time working,Intermediate occupations,Public rented,Yes,1,1,0,London,earnings,704,445
Male,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,London,other source,1101,388
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,London,other source,340,161
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,London,other source,72,73
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,London,other source,379,90
Male,Full-time working,Intermediate occupations,Private rented,Yes,1,1,0,London,earnings,346,511
Male,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Private rented,Yes,1,1,0,London,other source,0,912
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,987,1175
Female,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,1,1,0,London,earnings,769,738
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,London,other source,274,335
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,969,280
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,582,168
Female,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,other source,466,699
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,1185,614
Male,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,London,other source,180,116
Male,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Owned,Yes,1,1,0,London,other source,146,244
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,London,other source,555,180
Male,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,1185,409
Female,Unemployed and work related Government Training Programmes,Intermediate occupations,Owned,Yes,1,1,0,London,other source,284,701
Male,Economically inactive,Intermediate occupations,Public rented,No,1,1,0,London,other source,85,82
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,178,527
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,1185,422
Female,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,London,earnings,686,550
Female,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,London,earnings,392,236
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,London,other source,50,130
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,883,749
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,London,other source,150,95
Male,Unemployed and work related Government Training Programmes,"Higher managerial, administrative and professional occupations",Private rented,Yes,1,1,0,London,other source,58,172
Male,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,London,other source,220,92
Male,Economically inactive,Routine and manual occupations,Owned,Yes,1,1,0,London,other source,79,72
Male,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,No,1,1,0,London,earnings,589,312
Female,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,other source,467,435
Male,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,London,other source,464,196
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,1185,498
Female,Economically inactive,Not classified for other reasons,Private rented,Yes,1,1,0,London,other source,4,307
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,London,other source,305,117
Male,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,other source,1185,366
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,643,544
Male,Part-time working,Intermediate occupations,Owned,Yes,1,1,0,London,other source,597,254
Female,Economically inactive,"Higher managerial, administrative and professional occupations",Public rented,Yes,1,1,0,London,other source,120,149
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,828,701
Male,Unemployed and work related Government Training Programmes,Intermediate occupations,Private rented,Yes,1,1,0,London,other source,75,490
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,London,other source,220,149
Male,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,London,other source,161,164
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,1185,781
Female,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,London,other source,224,438
Male,Full-time working,Routine and manual occupations,Owned,Yes,1,1,0,London,earnings,574,422
Male,Full-time working,Routine and manual occupations,Owned,Yes,1,1,0,London,earnings,435,292
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,London,other source,274,158
Female,Part-time working,Intermediate occupations,Owned,Yes,1,1,0,London,earnings,523,275
Female,Economically inactive,Not classified for other reasons,Private rented,Yes,1,1,0,London,other source,185,155
Male,Full-time working,"Higher managerial, administrative and professional occupations",Public rented,Yes,1,1,0,London,earnings,1155,1175
Female,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,1,1,0,London,earnings,693,700
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,144,54
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,1185,1175
Male,Full-time working,"Higher managerial, administrative and professional occupations",Public rented,Yes,1,1,0,London,earnings,806,478
Male,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,London,other source,301,272
Male,Full-time working,Routine and manual occupations,Public rented,Yes,1,1,0,London,earnings,569,280
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,678,391
Male,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,London,other source,152,95
Male,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,London,other source,151,88
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,London,other source,80,205
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,657,945
Male,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,London,other source,228,140
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,754,545
Female,Full-time working,"Higher managerial, administrative and professional occupations",Public rented,Yes,1,1,0,London,earnings,679,239
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,202,152
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,252,224
Female,Unemployed and work related Government Training Programmes,Intermediate occupations,Public rented,Yes,1,1,0,London,other source,71,157
Male,Unemployed and work related Government Training Programmes,"Higher managerial, administrative and professional occupations",Owned,No,1,1,0,London,other source,71,170
Female,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,1,1,0,London,earnings,969,536
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,1185,1057
Female,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,London,earnings,397,314
Female,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,842,305
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,459,271
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,812,248
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,454,864
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,455,180
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,544,410
Female,Full-time working,Intermediate occupations,Private rented,Yes,1,1,0,London,earnings,378,234
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,1005,294
Female,Full-time working,"Higher managerial, administrative and professional occupations",Public rented,Yes,1,1,0,London,earnings,877,293
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,1185,355
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,London,earnings,1185,459
Male,Part-time working,Routine and manual occupations,Private rented,No,1,1,0,London,earnings,96,75
Female,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Public rented,No,1,1,0,London,other source,120,85
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,London,other source,910,314
Male,Full-time working,Routine and manual occupations,Owned,No,1,1,0,London,earnings,300,154
Male,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Owned,Yes,1,1,0,London,other source,140,261
Male,Full-time working,Intermediate occupations,Owned,No,1,1,0,London,earnings,144,116
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,London,other source,390,616
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,London,other source,431,158
Male,Full-time working,Routine and manual occupations,Public rented,No,1,1,0,Scotland,earnings,321,172
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Scotland,other source,170,162
Female,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,Scotland,earnings,332,235
Male,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,No,1,1,0,Scotland,other source,71,69
Male,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Private rented,Yes,1,1,0,Scotland,other source,99,201
Male,Economically inactive,Routine and manual occupations,Public rented,No,1,1,0,Scotland,other source,169,172
Female,Unemployed and work related Government Training Programmes,Intermediate occupations,Owned,Yes,1,1,0,Scotland,earnings,251,169
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Scotland,other source,628,483
Male,Economically inactive,"Higher managerial, administrative and professional occupations",Private rented,Yes,1,1,0,Scotland,other source,70,217
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Scotland,other source,461,212
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Scotland,other source,838,345
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Scotland,other source,275,195
Female,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,No,1,1,0,Scotland,other source,55,99
Female,Part-time working,Routine and manual occupations,Owned,No,1,1,0,Scotland,earnings,139,91
Male,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Scotland,other source,233,222
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Scotland,other source,905,339
Male,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Scotland,other source,281,80
Female,Economically inactive,Not classified for other reasons,Private rented,Yes,1,1,0,Scotland,other source,268,182
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Scotland,other source,145,48
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Scotland,other source,208,161
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Scotland,other source,166,84
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Scotland,other source,347,170
Male,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Yes,1,1,0,Scotland,earnings,445,360
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Scotland,other source,195,183
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Scotland,other source,194,186
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Scotland,other source,439,190
